summary,region,gname,country
,5,New People's Army (NPA),160
"4/2/1970: Unknowns perpetrator placed a pipe bomb in a vestibule of Chase Manhattan Bank in the Bronx, New York, United States.  The bomb was discovered and subsequently dismantled by the police.",1,Left-Wing Militants,217
,8,Saor Eire (Irish Republican Group),96
"4/4/1970: In a series of related attacks that failed, unknown perpetrators placed a pipe bomb at the Banco de Ponce in Manhattan, New York, United States.  The bomb was discovered and subsequently disarmed.",1,Left-Wing Militants,217
"4/4/1970: In a series of related attacks that failed, unknown perpetrators placed a pipe bomb at a busy intersection in the Bronx, New York, United States.  The bomb was discovered and subsequently disarmed.",1,Left-Wing Militants,217
"4/4/1970: Unknown perpetrators set a fire at Rogers Field Stadium at Washington State University in Pullman, Washington, United States.  There were no casualties, but the stadium sustained $700,000 in damages.",1,Student Radicals,217
,3,Popular Revolutionary Vanguard (VPR),30
,3,Argentine Liberation Front (FAL),11
"4/5/1970: In a series of two incidents that were possibly related, unknown perpetrators bombed a power line pole supplying electrical power to a pumping station in Trona, California, United States.  There were no casualties but the power line pole was destroyed.  At the time, the American Potash Plant of Trona was the scene of a major workers strike.",1,Strikers,217
"4/5/1970: In a series of two incidents that were possibly related, unknown perpetrators set fire to barracks owned by the American Potash and Chemical Company in Trona, California, United States.  There were no casualties but the barracks were damaged.  At the time, the American Potash Plant of Trona was the scene of a major workers strike.",1,Strikers,217
"4/5/1970: Unknown perpetrators placed a bomb at the Young Women's Christian Association in Manhattan, New York, United States.  The bomb was discovered and subsequently disarmed.",1,Unknown,217
"4/5/1970: Unknown perpetrators set fire to the office of the dean of students at Rice University in Houston, Texas, United States.  There were no casualties but the office sustained an estimated $50,000 in damages.  Student records were also destroyed.",1,Student Radicals,217
"4/8/1970: Unknown perpetrators bombed the building of Anchor Savings & Loan in Lawrence, Kansas, United States.  There were no casualties but two windows were shattered.",1,Unknown,217
"4/8/1970: Unknown perpetrators bombed the car of a person working at a strike bound company in Baxter, Kansas, United States.  There were no casualties but the car was damaged.",1,Strikers,217
"4/8/1970: Suspected members of the Chicano Liberation Front set fire to the administration building at Roosevelt High School in Los Angeles, California, United States.  There were no casualties but the building sustained over $100,000 in damages.",1,Chicano Liberation Front,217
"4/9/1970: Unknown assailants bombed a shovel crane belonging to the Waggoner Equipment Rental & Excavating Company in East St. Louis, Illinois, United States.  There were no casualties but the crane sustained an estimated $30,000 in damages.  The perpetrators were protesting outside companies that worked on construction projects in East St. Louis.",1,Unknown,217
"4/11/1970: Unknown perpetrators bombed the barracks at the Imperial Beach Naval Air Station in San Diego, California, United States.  There were no casualties but the barracks building was damaged.",1,Left-Wing Militants,217
"4/11/1970: Two unknown individuals threw Molotov cocktails into the Olin Library, McGraw Hall, Morrill Hall, and Psi Upsilon fraternity at Cornell University in Ithaca, New York, United States.  Only two of the Molotov cocktails ignited and caused minor damage.  There were no casualties.",1,Student Radicals,217
"4/11/1970: Unknown perpetrators firebombed a storage tank at the Dow Chemical Company located north of Freeport, Texas, United States.  Five people received minor injuries from flying glass and an estimated $250,000 in damages was caused to the facilities.",1,Unknown,217
,1,New World Liberation Front (NWLF),217
"4/13/1970: In a series of related attacks, unknown perpetrators bombed East High School in Kansas City, Missouri, United States.  There were no casualties but the building sustained minor damage.",1,Unknown,217
"4/13/1970: In a series of related attacks, unknown perpetrators bombed Linwood Methodist Church in Kansas City, Missouri, United States.  There were no casualties but the building sustained minor damage.",1,Unknown,217
"4/13/1970: In a series of related attacks, unknown perpetrators bombed the Police Academy of Kansas City, Missouri, United States.  There were no casualties but the windows of the Police Academy and surrounding buildings were shattered.",1,Unknown,217
"4/14/1970: Unknown perpetrators bombed a sewer leading from the American Potash Plant in Trona, California, United States.  There were no casualties but a substantial part of the sewer was destroyed.  At the time, the American Potash Plant of Trona was the scene of a major workers strike.",1,Strikers,217
"4/14/1970: Unknown perpetrators placed a pipe bomb in the Science Building at California State University, Long Beach, United States.  The bomb was discovered and subsequently disarmed.",1,Student Radicals,217
"4/14/1970: Unknown perpetrators placed a stick of dynamite, kerosene, a cloth rag, matches, and a cigarette explosive device at the May Company Department Store in Los Angeles, California, United States.  The weapons were discovered and removed by security officials.",1,Unknown,217
,10,Popular Front for the Liberation of Palestine (PFLP),102
"4/15/1970: Four Cuban refugees firebombed a building in Los Angeles, California, United States, occupied by pro-Castro sympathizers.  There were no casualties but the building was damaged.",1,Cuban Exiles,217
"4/15/1970: In a series of related attacks, suspected members of the Chicano Liberation Front set fire to the Board of Education administration building in Los Angeles, California, United States.  There were no casualties but the building sustained $75,000 in damages.",1,Chicano Liberation Front,217
"4/15/1970: In a series of related attacks, suspected members of the Chicano Liberation Front set fire to a storage structure at Roosevelt High School in Los Angeles, California, United States.  There were no casualties but the school sustained $20,000 in damages.",1,Chicano Liberation Front,217
"4/16/1970: In a series of related attacks, unknown perpetrators bombed the Plaza III Restaurant in Kansas City, Missouri, United States.  There were no casualties but the blast blew a hole through the ceiling of the restaurant.",1,Unknown,217
"4/16/1970: In a series of related attacks, unknown perpetrators bombed the Waltower Building in Kansas City, Missouri, United States.  There were no casualties but the building sustained extensive damages.",1,Unknown,217
"4/16/1970: In a series of related attacks, unknown perpetrators bombed the Argyle Building in Kansas City, Missouri, United States.  There were no casualties but the building was damaged.",1,Unknown,217
"4/16/1970: Unknown perpetrators bombed railroad tracks leading to the American Potash Plant in Trona, California, United States.  There were no casualties but the tracks were partially damaged.  At the time, the American Potash Plant of Trona was the scene of a major workers strike.",1,Strikers,217
"4/17/1970: Suspected members of the Black Panther Party ambushed a police paddy wagon carrying two police officers and four prisoners in Oakland, California, United States.  Both police officers were critically wounded.  In the ensuing car chase, the perpetrators threw fragmentation grenades at police vehicles causing major damage.  Two of the assailants were eventually captured.",1,Black Panthers,217
"4/19/1970: In a simultaneous bombing campaign, suspected White Racists detonated an explosive device at the Japanese Presbyterian Church in Seattle, Washington, United States.  There were no casualties and the church sustained $2,000 in damages.",1,White extremists,217
"4/19/1970: In a simultaneous bombing campaign, suspected White Racists detonated an explosive device at Hard Castle Realty, a real estate office that employed African Americans in Seattle, Washington, United States.  There were no casualties and the office sustained $4,000 in damages.",1,White extremists,217
"4/19/1970: In a simultaneous bombing campaign, suspected White Racists detonated an explosive device at a restaurant that was constructed by African Americans in Seattle, Washington, United States.  There were no casualties and the restaurant sustained around $2,000 in damages.",1,White extremists,217
"4/19/1970: In a simultaneous bombing campaign, suspected White Racists detonated an explosive device at the house of State Legislator David G. Sprague in Seattle, Washington, United States.  There were no casualties and the house sustained $1,000 in damages.",1,White extremists,217
"4/19/1970: Unknown perpetrators placed a pipe bomb in a corrections officer's car parked outside of the House of Detention in Queens, New York, United States, where ten Black Panthers members were held.  The bomb failed to explode and was discovered  after an unknown individual phoned the police stating ""we're going to blow up the jail in a half hour.  Free the Panther 21.""",1,Black Nationalists,217
"4/20/1970: Unknown perpetrators firebombed the Student Union at the University of Kansas, Lawrence, United States.  There were no casualties but the building sustained approximately $3,000,000 in damages.",1,Student Radicals,217
,5,Unknown,160
"4/21/1970:  Unknown perpetrators threw two Molotov Cocktails into a Bank of America branch in Los Angeles,  California, United States.  Another firebomb thrown into the facility did not explode.  There were no casualties but the building sustained an estimated $30,000 in damages.",1,Left-Wing Militants,217
"4/22/1970: Unknown perpetrators bombed a pipeline supplying brine to the American Potash Plant in Trona, California, United States.  There were no casualties but the salt-water pipeline was destroyed and the fire hydrants of Trona were dry for around eight hours.  At the time, the American Potash Plant of Trona was the scene of a major workers strike.",1,Strikers,217
"4/22/1970: In a series of related incidents, unknown perpetrators firebombed building T-9 at the University of California, Berkeley, United States.  There were no casualties but the upper floor of the building sustained extensive damages.",1,Student Radicals,217
"4/22/1970: In a series of related incidents, unknown perpetrators placed a firebomb in building T-7 at the University of California, Berkeley, United States.  The bomb was discovered before it ignited.",1,Student Radicals,217
"4/22/1970: Unknown perpetrators firebombed the Schmidt Building in Milwaukee, Wisconsin, United States.  There were no casualties but the facility was damaged.  Federal government offices were located in the building.",1,Student Radicals,217
"4/22/1970: Two women failed in their attempts to ignite a gasoline bomb at the University of Illinois' Police Station in Urbana, United States.",1,Student Radicals,217
"4/22/1970: Unknown perpetrators set off two firebombs at Redlands University in California, United States.  A Molotov cocktail destroyed offices in the administrative building and a bottle filled with inflammable liquid caused minor damages to a bathroom in the Hall of Letters.  There were no casualties but the total damage was estimated at $40,000.",1,Left-Wing Militants,217
"4/23/1970: In a series of four related incidents, the Armed Commandos of Liberation claimed credit for placing bombs that were discovered in a U.S. Naval Relay Power Station in Puerto Rico. Cumulatively, fifty-one out of fifty-three bombs failed to explode with the remaining two bombs causing minor damage.",1,Armed Commandos of Liberation,217
"4/23/1970: In a series of four related incidents, the Armed Commandos of Liberation claimed credit for placing bombs that were discovered in the offices of Motorola Inc. in Puerto Rico.  Cumulatively, fifty-one out of fifty-three bombs failed to explode with the remaining two bombs causing minor damage.",1,Armed Commandos of Liberation,217
"4/23/1970: In a series of four related incidents, the Armed Commandos of Liberation claimed credit for placing bombs that were discovered at the International Telephone and Telegraph building in Puerto Rico.  Cumulatively, fifty-one out of fifty-three  bombs failed to explode with the remaining two bombs causing minor damage.",1,Armed Commandos of Liberation,217
"4/23/1970: In a series of four related incidents, the Armed Commandos of Liberation claimed credit for placing bombs in a Puerto Rican police station.  The perpetrators were targeting communication devices.  Cumulatively, fifty-one out of fifty-three bombs failed to explode with the remaining two bombs causing minor damage.",1,Armed Commandos of Liberation,217
"4/24/1970:  Unknown perpetrators threw firebombs into two separate wings of the Center for Advanced Studies of Behavioral Sciences Building at Stanford University in Palo Alto, California, United States.  There were no casualties but there was an estimated $100,000 in damages not including lost research.",1,Student Radicals,217
"4/24/1970: Three members of the Black Panthers Party opened fire on a police vehicle parked in Baltimore, Maryland, United States.  Patrolman Donald Sager was killed and police officer Stanley Sierakowski was critically wounded but survived.  The perpetrators were under orders from the Black Panthers to kill police.",1,Black Panthers,217
"4/24/1970: Unknown perpetrators bombed the Army and Air Force Recruiting Office located in an office building in Manhattan, New York, United States.  There were no casualties but the building sustained extensive damages.",1,Left-Wing Militants,217
"4/24/1970: Republic of China's Vice Premier, Chiang Ching-kuo was visiting the United States for a meeting of the Far East-America Council of Commerce and Industry. While entering Manhattan's Plaza Hotel for a luncheon, an Asian man ran towards Chiang, pointing a black automated pistol. New York Detective James Ziede, acting as Chiang's security, grabbed the  assailant's arm before he shot, deflecting the bullet aimed at Chiang towards the glass door and Chiang remained unharmed.  Peter Huang Wen-hsiung, a Taiwan-born Chinese, and his brother-in-law, Cheng Tzu-tsai, were the named assailants.",1,The World United Formosans for Independence (WUFI),217
,10,Palestinians,209
"4/25/1970: Doughtry Long, a former associate dean of students at the University of Pennsylvania, was arrested for throwing two Molotov cocktails into the Office of Community Relations in the College Hall building at the Philadelphia, United States campus.  There were no casualties and it is unknown whether the building sustained damages.",1,Left-Wing Militants,217
"4/25/1970: In a series of related incidents, unknown perpetrators bombed the East Lansing State Bank in East Lansing, Michigan United States.  There were no casualties but the building sustained minor damages.",1,Left-Wing Militants,217
"4/25/1970: In a series of related incidents, unknown perpetrators bombed the First National Bank in East Lansing, Michigan, United States.  There were no casualties but the building sustained minor damages.",1,Left-Wing Militants,217
"4/25/1970: In a series of related incidents, unknown perpetrators bombed the East Lansing Savings & Loan in East Lansing, Michigan, United States.  There were no casualties but the building sustained minor damages.",1,Left-Wing Militants,217
,1,Black Nationalists,217
"4/26/1970: In a series of two incidents that were possibly related, suspected Black nationalists bombed a water cooling tower adjacent to the Baton Rouge Country Club in Louisiana, United States moments before the Louisiana State Capital Building was bombed.  There were no casualties but the tower was destroyed and the country club sustained slight damages.",1,Black Nationalists,217
"4/26/1970: Unknown perpetrators bombed the Selective Service Office, Local Board Number 51 in Robbinsdale, Minnesota, United States.  There were no casualties and it is unclear whether the building was damaged.",1,Left-Wing Militants,217
"4/27/1970: Unknown perpetrators detonated a bomb on a street in Iowa City, Iowa, United States.  There was two injuries and twelve businesses were damaged at a total estimated cost of $20,000.",1,Black Nationalists,217
"4/27/1970: Unknown perpetrators set a fire in the basement of the Yale Law School Library in New Haven, Connecticut, United States.  There were no casualties but around five hundred books were destroyed and the library sustained structural damage.",1,Student Radicals,217
"4/27/1970: Unknown perpetrators set fire to the department of linguistics building at Northwestern University in Evanston, Illinois, United States.  There were no casualties but the fire caused an estimated $15,000 in damage.",1,Student Radicals,217
"4/27/1970: Unknown perpetrators placed seven sticks of dynamite in the science building at California State University, Fullerton, United States.  The dynamite was discovered and subsequently removed.",1,Student Radicals,217
"4/27/1970: Unknown perpetrators placed an incendiary device in the garage of Judge John McKinney in Ames, Iowa, United States.  The device was discovered and subsequently disarmed.  Judge John McKinney resided over multiple cases against Anti-War protesters.",1,Left-Wing Militants,217
"4/27/1970: Unknown perpetrators bombed the car of the chairman of a group supporting pro-environmental legislation in St. Charles, Missouri, United States.  There were no casualties but the car was slightly damaged.",1,Unknown,217
,8,Extraparliamentary Opposition (APO),362
,9,Unknown,499
"4/30/1970: Unknown perpetrators placed a pipe bomb near a police station in Manhattan, New York, United States.  The bomb was discovered and subsequently removed.",1,Black Nationalists,217
"4/29/1970: Unknown perpetrators placed fourteen sticks of dynamite and a timing device outside of the Baton Rouge Country Club in Louisiana, United States.  The device was discovered and subsequently disarmed by an Army demolition team.  Four days before this incident, it is suspected that Black nationalists bombed the same country club.",1,Black Nationalists,217
"5/0/1970: Unknown perpetrators set a fire at St. Ann's Church in Boston, Massachusetts, United States.  There were no casualties but the building was damaged.  This is believed to be part of a campaign to scare Whites out of the Dorchester area.",1,Black Nationalists,217
"5/0/1970: Suspected Puerto Rican nationalists bombed a Burger King in Rio Piedras ,Puerto Rico.  The restaurant was damaged and one person was seriously injured by the explosion.  The Burger King was located across the street from the University of Puerto Rico, the site of many student demonstrations.",1,Puerto Rican Nationalists,217
"5/1/1970: Four unknown perpetrators firebombed a joint armed services recruiting booth in Manhattan, New York, United States.  There were no casualties, but the recruiting booth sustained heavy damages.",1,Left-Wing Militants,217
"5/1/1970: Unknown perpetrators placed a bomb on the DePauw University campus in Greencastle, Indiana, United States.  The resulting fire damaged the R.O.T.C. office and university library.  There were no casualties.",1,Student Radicals,217
"5/1/1970: Unknown perpetrators detonated a bomb at the Ingalls Skating Rink at Yale University in New Haven, Connecticut, United States.  There were two injuries and the entrance of the building was damaged.  The attack took place during a school dance after a large demonstration protesting the trial of the Black Panther Eight.",1,Student Radicals,217
"5/1/1970: In a series of related incidents, suspected Puerto Rican nationalists detonated two bombs at the Dale Theatre in the Bronx, New York, United States.  Ten people were injured in the attack and the theater sustained light damages.  A third bomb that did not detonate was eventually discovered.",1,Armed Revolutionary Independence Movement (MIRA),217
"5/1/1970: In a series of related incidents, Puerto Rican nationalists detonated one bomb at the Paradise Theatre in the Bronx, New York, United States.  One person was injured in the attack and the theater sustained light damages.",1,Armed Revolutionary Independence Movement (MIRA),217
"5/1/1970: An organization calling itself Revolutionary Force 26 firebombed the Lincoln Square Mall in Champaign, Illinois, United States.  There were no casualties and the mall sustained only light damage.  The incident occurred after the shooting of Edgar Hoults, an African American, by a Champaign Police Officer.",1,Revolutionary Force 26,217
"5/1/1970: An organization calling itself Revolutionary Force 26 firebombed the Jos. Kuhn Company in Champaign, Illinois, United States.  There were no casualties and the clothing store sustained only light damage.  The incident occurred after the shooting of Edgar Hoults, an African American, by a Champaign Police Officer.",1,Revolutionary Force 26,217
,3,Palestinians,158
"5/4/1970: Unknown perpetrators firebombed a barbershop owned by a non-union member in Jennings, Maryland, United States.  There were no casualties but the shop was damaged.",1,Strikers,217
"5/4/1970: Unknown perpetrators detonated a plastic explosive at the R.O.T.C. office at the University of North Carolina, Chapel Hill, United States.  There were no casualties and it unknown whether the office sustained any damages.",1,Student Radicals,217
"5/4/1970: Unknown perpetrators tossed bricks into the window of the Selective Service office in Norman, Oklahoma, United States.  The building was subsequently firebombed.  There were no casualties but it the building was damaged.",1,Left-Wing Militants,217
"5/4/1970: Unknown perpetrators threw two Molotov cocktails into the motor vehicle compound of the Missouri National Guard in Maryville, Missouri, United States.  There were no casualties and it is unknown whether the compound sustained damages.",1,Left-Wing Militants,217
,9,Extraparliamentary Opposition (APO),499
"5/5/1970: Joe Schock, an ex-Marine who served in Vietnam, threw a gasoline firebomb into the National Guard Armory in Lewiston, Idaho, United States.  There were no casualties but twenty-nine military vehicles were destroyed, causing an estimated loss of $250,000.",1,Left-Wing Militants,217
"5/5/1970: Members of the Black Afro Militant Movement (BAMM) bombed the Computer Center at the University of Miami in Coral Gables, Florida, United States.  There were no casualties and it is unknown if the building sustained damages.",1,Black Afro Militant Movement,217
"5/5/1970: Unknown perpetrators tossed a firebomb through the window of a Federal Office Building in Orlando, Florida, United States.  There were no casualties but an office in the Social Security Department was heavily damaged.",1,Left-Wing Militants,217
"5/5/1970: Unknown perpetrators detonated a bomb at the Sears, Roebuck & Company Department Store in Brooklyn, New York, United States.  Two women were injured in the blast and it is unknown if the store was damaged.",1,Unknown,217
"5/6/1970: Unknown perpetrators firebombed the Selective Service Office in Oakland, California, United States.  There were no casualties but the building sustained $200 in damages.",1,Left-Wing Militants,217
"5/6/1970: Unknown perpetrators detonated two bombs, probably consisting of dynamite, at the Longview National Guard Armory in Longview, Washington, United States.  There were no casualties and it is unknown whether the explosion caused any damage.",1,Left-Wing Militants,217
"5/6/1970: Unknown perpetrators set off an incendiary device at the U.S. Army Reserve Center in Reading, Pennsylvania, United States.  There were no casualties and it is unknown whether the resulting fire caused any damages.",1,Left-Wing Militants,217
"5/6/1970: Unknown perpetrators set off a firebomb at a Federal Government Building in Portland, Oregon, United States.  There were no casualties but the building sustained an estimated $1000 in damages.",1,Left-Wing Militants,217
"5/6/1970: Two White males were arrested while they were attempting to firebomb vehicles at the San Pedro National Guard Armory in San Pedro, California, United States.  No firebombs were succesfully ignited.",1,Left-Wing Militants,217
"5/6/1970: Unknown perpetrators threw a firebomb through the glass door of Oregon's Selective Service Headquarters in Portland, United States.  There were no casualties but the entryway and ceiling were damaged.",1,Left-Wing Militants,217
"5/6/1970: Unknown perpetrators set fire to a sacred Torah Scroll at Chevra Shas synagogue in Boston, Massachusetts, United States.  There were no casualties but the scroll was destroyed.  This is believed to be part of a campaign to scare Jews out of the Dorchester area.",1,Black Nationalists,217
"5/7/1970: Unknown perpetrators set off a pipe bomb at a  social club in the ""Little Italy"" section of Manhattan, New York, United States.  There were no casualties and the building sustained only slight damages.",1,Unknown,217
"5/8/1970: Unknown perpetrators threw four bombs into the National Guard Armory in New London, Connecticut, United States.  There were no casualties and the resulting fire caused minimal damage.",1,Left-Wing Militants,217
"5/9/1970: The Stop the War Coalition claimed credit for setting fire to the Humanities Building at the Brooklyn campus of Long Island University in New York, United States.  Twelve firefighters were injured fighting the blaze and the building sustained $100,000 in damages.",1,Stop the War Coalition,217
"5/9/1970: Unknown perpetrators detonated a bomb at a Selective Services office in Los Angeles, California, United States.  There were no casualties but the building sustained an estimated $10,000 in damages.",1,Left-Wing Militants,217
"5/9/1970: Sacramento Police Officer Bernard Bennett was shot and killed by a sniper, suspected of being a Black Militant, as the he was patrolling the Oak Park area of Sacramento, United States, with his partner Officer Lloyd Smothers.",1,Black Nationalists,217
,9,Extraparliamentary Opposition (APO),499
,1,"Weather Underground, Weathermen",217
,8,1st of May Group,199
"5/12/1970: A splinter group of the Ku Klux Klan claimed credit for blowing up a transmitter of the radio station KPFT in Houston, Texas, United States.  KPFT radio gave a platform for people with Communist views.  There were no casualties but the station was knocked of the air.",1,Ku Klux Klan,217
"5/12/1970: Unknown perpetrators set fire to a building housing two Selective Services offices in Detroit, Michigan, United States.  There were no casualties but the Selective Service offices sustained $50,000 in damages.",1,Left-Wing Militants,217
"5/13/1970: Suspected members of the Black Panthers bombed the Des Moines Police Station in Iowa, United States.  Two people were injured and the attack caused an estimated $200,000 in damages.",1,Black Panthers,217
"5/13/1970: Unknown perpetrators bombed the supply building of the Utah National Guard in Salt Lake City, United States.  There were no casualties and the building sustained an estimated $9,000 in damages.",1,Left-Wing Militants,217
"5/13/1970: Unknown African American perpetrators threw three firebombs at the house of James Rudder, a White citizen of Oxford, North Carolina, United States.  Two of the firebombs failed to ignite and the third caused only minor damage to the roof of the house.  This incident took place during heightened racial tensions in Oxford.",1,Black Nationalists,217
"5/13/1970: Members of the Black Afro Militant Movement (BAMM) firebombed the Allapattah Five and Ten Cent Store in Miami, Florida, United States.  There were no casualties and it is unknown if the store sustained any damages.",1,Black Afro Militant Movement,217
"5/14/1970: Unknown perpetrators firebombed the National Guard Armory in Melrose, Massachusetts, United States.  There were no casualties and the damages are unknown.",1,Left-Wing Militants,217
"5/14/1970: Unknown perpetrators bombed the Alma Mater statue at Columbia University in Manhattan, New York, United States.  There were no casualties but the statue was damaged.",1,Student Radicals,217
"5/14/1970: Unknown perpetrators placed a pipe bomb in the Science Building at California State University, Long Beach, United States.  The bomb was discovered and subsequently removed before detonating.",1,Student Radicals,217
"5/14/1970: Unknown African American perpetrators attempted to firebomb a tobacco warehouse in Oxford, North Carolina, United States. The firebomb failed but, as part of a diversionary tactic, an unoccupied house in another part of town was damaged by an incendiary device.  This incident took place during heightened racial tensions in Oxford.",1,Black Nationalists,217
,8,Unknown,362
,3,Tupamaros (Uruguay),218
,8,Unknown,362
"5/15/1970: Larry G. Ward, an African American, was shot and killed by police as he attempted to bomb the Hardcastle Realty office in Seattle, Washington, United States.  The real estate office was the target of a bombing a month earlier.",1,Black Nationalists,217
,1,Cuban Action,217
"5/19/1970: Unknown perpetrators firebombed the Selective Service offices in Afton, Missouri, United States.    There were no casualties but the fire caused an estimated $1,600 in damages.",1,Left-Wing Militants,217
"5/20/1970: Unknown perpetrators bombed a substation of the Florida Power Company in Quincy, Florida, United States.  There were no casualties but the main transformer was destroyed causing an estimated $600,000 in damages.",1,Unknown,217
"5/20/1970: Unknown perpetrators attempted to firebomb the Selective Service building in Carlisle, Pennsylvania, United States, but the five Molotov cocktails failed to ignite.",1,Left-Wing Militants,217
"5/20/1970: Members of the Black Afro Militant Movement threw Molotov cocktails at Dorsey Junior High School in Miami, Florida, United States.  There were no casualties and it is unknown if the firebombs caused any damage to the school.",1,Black Afro Militant Movement,217
"5/21/1970: Unknown perpetrators bombed the residence of a foreman employed by the American Potash Plant in Trona, California, United States.  There were no casualties but the explosion caused major damage to the home and furnishings.  At the time, the American Potash Plant of Trona was the scene of a major workers strike.",1,Strikers,217
,1,Jewish Defense League (JDL),217
"5/22/1970: Police Officer James Sackett is murdered by a sniper after he responded to a fake emergency call in St. Paul, Minnesota, United States.  Over thirty-five years after Sackett's death Ronald Reed and Larry Clark were convicted of the murder.  They were Black Panther wannabe's who wanted to kill a police officer.",1,Black Nationalists,217
"5/22/1970: Suspected members of the Black Panthers bombed the Ames Police Headquarters located in the city hall of Ames, Iowa, United States.  Ten people were injured and an estimated $50,000 in damage was caused.",1,Black Panthers,217
"5/25/1970: Unknown African American perpetrators firebombed the Chapman Lumber Company in Oxford, North Carolina, United States. There were no casualties but the business was destroyed.  This incident took place during heightened racial tensions in Oxford.",1,Black Nationalists,217
"5/26/1970: In a series of related incidents, unknown African American perpetrators firebombed the Planter's Warehouse in Oxford, North Carolina, United States.  There were no casualties but the tobacco warehouse was destroyed resulting in a net loss of $5,000,000.  This incident took place during heightened racial tensions in Oxford.",1,Black Nationalists,217
"5/26/1970: In a series of related incidents, unknown African American perpetrators firebombed Owen Warehouse Number Two in Oxford, North Carolina, United States.  There were no casualties but the tobacco warehouse was destroyed resulting in a net loss of $5,000,000.  This incident took place during heightened racial tensions in Oxford.",1,Black Nationalists,217
"5/27/1970: Unknown perpetrators placed two pipe bombs in front of the Selective Service office in Los Angeles, California, United States.  One bomb exploded causing extensive damage to the exterior of the building.  The other bomb did not explode.  There were no casualties.",1,Left-Wing Militants,217
"5/27/1970: In a series of two related incidents, unknown perpetrators burned a sacred Torah Scroll and ransacked the Chevra Shas synagogue in Boston, Massachusetts, United States.  There were no casualties but the Torah scroll was destroyed.  This is believed to be part of a campaign to scare Jews out of the Dorchester area.",1,Black Nationalists,217
"5/27/1970: In a series of two related incidents, unknown perpetrators set two fires at Agudath Israel synagogue in Boston, Massachusetts, United States.  There were no casualties but the synagogue sustained $10,000 in damages.  This is believed to be part of a campaign to scare Jews out of the Dorchester area.",1,Black Nationalists,217
,1,Black Panthers,217
"5/28/1970: Unknown perpetrators connected a bomb consisting of TNT to the engine of a U.S. Department of Labor vehicle in Phoenix, Arizona, United States that transported people to a Government training program.  The bomb did not explode because it was believed to be wired incorrectly.",1,Left-Wing Militants,217
"5/28/1970: Unknown perpetrators bombed an unoccupied lecture hall at Rockefeller University in Manhattan, New York, United States.  There were no casualties and the building sustained minor damages.",1,Student Radicals,217
"5/28/1970: Hours after an anti-war demonstration, unknown perpetrators set fire to the registration building at California State University in Fullerton, United States.  The registration building was adjacent to a house used by students to protest the War in Vietnam.  There were no casualties but the building sustained an estimated $25,000 in damages.",1,Right-wing extremists,217
,3,Montoneros (Argentina),11
,3,Tupamaros (Uruguay),218
"5/29/1970: The home of the deceased chief of the Oakland police force was bombed by unknown perpetrators in Oakland, California, United States.  There were no casualties and it is unknown if the house sustained any damages.",1,Black Nationalists,217
"5/29/1970:  William F. Passmore a sailor on the Vietnam bound Navy Destroyer USS Richard B. Anderson sabotaged one of the engines of the ship by dropping nuts and bolts into the gears.  The ship returned to the United States and it took $231,000 to repair.",1,Left-Wing Militants,217
"5/30/1970: Unknown perpetrators bombed a fifty-foot office trailer located at a construction site of the World Trade Center in Manhattan, New York, United States.  The trailer sustained only minor damages, however, $3,000 worth of blueprints were destroyed.  There were no casualties.",1,Left-Wing Militants,217
,3,Montoneros (Argentina),11
,5,Unknown,160
"6/2/1970: Unknown perpetrators bombed a transformer belonging to the Gulf States Utilities Company in Baton Rouge, Louisiana, United States.  There were no casualties but that transformer sustained an estimated $40,000 in damages and power was disrupted in the Baton Rouge area.  This incident occurred during a construction workers strike.",1,Unknown,217
"6/2/1970: A disgruntled businessman is suspected of hiring hit men to assassinate Illinois State Representative William G. Barr.  A dynamite bomb exploded when Barr turned on the ignition of his Cadillac in Joliet, Illinois, United States.  The car was destroyed and Barr's right leg had to be amputated.",1,Unknown,217
"6/3/1970: Unknown perpetrators firebombed the conference room at Oregon's Selective Service Headquarters in Portland, United States.  There were no casualties and it is unknown if the building sustained any damages.",1,Left-Wing Militants,217
"6/4/1970: Unknown perpetrators bombed an unmanned police vehicle in Oakland, California, United States.  There were no casualties but the car was destroyed.  The police officers at the time were investigating a disturbance at a pool hall.  There were many attacks against police in California during this time period.",1,Black Nationalists,217
"6/5/1970: Unknown perpetrators bombed the Wardroom of the Naval R.O.T.C. at the University of California, Los Angeles, United States.  There were no casualties but the room was destroyed causing an estimated $10,000 in damages.",1,Student Radicals,217
,5,Kabataang Makabayan (KM),160
,8,Extraparliamentary Opposition (APO),362
,8,Extraparliamentary Opposition (APO),362
"6/6/1970:  Unknown perpetrators ignited nine dice-sized firebombs at the Woolworth's store in Manhattan, New York, United States.  There were no casualties but the resulting fire caused damage to the merchandise and infrastructure of the building resulting in an estimated $150,000 in damages.",1,Unknown,217
"6/6/1970: Unknown perpetrators placed a pipe bomb in a police parking lot in Berkeley, California, United States.  The bomb failed to explode due to a faulty fuse.  There were many attacks against police in California during this time period.",1,Black Nationalists,217
,10,Unknown,102
,10,Popular Front for the Liberation of Palestine (PFLP),102
"6/7/1970: Unknown perpetrators threw grenades at police vehicles parked at the Firestone Park Station in Los Angeles, California, United States.  There were no casualties but five police cars were damaged at a cost of around $5,000.  There were many attacks against police in California during this time period.",1,Black Nationalists,217
,1,"Weather Underground, Weathermen",217
