summary,motive,region,gname,country
,,8,Unknown,98
"2/19/1978- 2/19/1978: Two gunmen shot and killed Egyptian newspaper editor, Youssed Sebai, at the Hilton hotel in Nicosia.  They then took 30 people hostage and barricaded themselves in the kitchen of the hotel.  After negotiating with authorities, they released 12 hostages under the condition that the two shooters and the remaining hostages be allowed to travel to Larnaca Airport.  At the airport, the gunmen boarded a plane, along with 11 hostages and 4 volunteers from the flight crew.  Once in the air, the gunmen requested to land in Libya, Kuwait, Somalia, Greece and Sothern Yemen.  All 5 denied them permission to land.  The plane eventually landed in Djibouti and refueled.  After refueling the plane was forced to return to Larnaca Airport.  At the airport a gun fight erupted involving the Greek Cypriot National Guard and Egyptian commandos while both groups were attempting to rescue the hostages.  15 Egyptians were killed.  Eventually, the gunmen released all remaining hostages and surrender to the National Guard.  The gunmen claimed they assassinated Yousef Sebai because he had published pro-Israel articles and they were supporting the Palestinian cause.",In protest of pro-Israel articles in the Egyptian newspaper edited by Mr. Sebai.,8,Anti-Israeli extremists,53
,,3,National Liberation Army of Colombia (ELN),45
,,3,National Liberation Army of Colombia (ELN),45
,,1,Unknown,130
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,8,Aryan Brotherhood,98
,,3,Unknown,45
,,8,Unknown,98
,,2,Sandinista National Liberation Front (FSLN),145
,,2,Unknown,145
,,2,Unknown,61
,,1,Jewish Committee of Concern,217
,,3,Unknown,59
,,3,Unknown,59
,,3,Unknown,59
,,3,M-19 (Movement of April 19),45
,,3,Popular Liberation Army (EPL),45
,,8,Red Brigades,98
,,8,First of October Antifascist Resistance Group (GRAPO),185
,,8,Basque Fatherland and Freedom (ETA),185
,,3,Popular Liberation Army (EPL),45
,,3,Popular Liberation Army (EPL),45
,,8,Red Brigades,98
,,8,Red Brigades,98
,,8,Unknown,98
,,8,Canary Islands Independence Movement,185
,,3,National Liberation Army of Colombia (ELN),45
,,3,M-19 (Movement of April 19),45
,,3,National Liberation Army of Colombia (ELN),45
,,8,Autonomous Students,98
,,3,Unknown,45
,,3,Unknown,45
,,8,Red Brigades,98
,,8,Unknown,98
,,8,Armed Workers Squads,98
,,4,Unknown,101
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Aryan Brotherhood,98
,,2,People's Liberation Forces (FPL),61
,,2,Unknown,145
,,8,Anti-Imperialistic Communist Revolutionaries,98
,,5,Moro National Liberation Front (MNLF),160
,,2,Sandinista National Liberation Front (FSLN),145
,,2,Sandinista National Liberation Front (FSLN),145
,,2,Sandinista National Liberation Front (FSLN),145
,,1,Coordination of the United Revolutionary Organization (CORU),217
,,8,Unknown,98
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Irish Republican Army (IRA),603
,,8,Unknown,98
,,8,Unknown,98
,,8,Communist Fighting Detachments,98
,,8,Unknown,98
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Fuerza Nueva,185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Irish Republican Army (IRA),603
,,11,African National Congress (South Africa),183
"3/1/1978: Unknown perpetrators set a fire at the Akron Women's Clinic in Akron, Ohio, United States.  There were no casualties and the monetary extant of the damages are unknown.",To protest the practice of abortion and to sabotage abortion facilities operating in Ohio.,1,Anti-Abortion extremists,217
,,8,Red Brigades,98
,,8,Unknown,98
,,8,Armed Nuclei for Territorial Counterpower,98
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Unknown,98
,,8,Irish Republican Army (IRA),603
,,8,Unknown,21
,,8,Unknown,69
,,8,Red Brigades,98
,,8,Unknown,98
,,1,Croatian Nationalists,217
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Irish Republican Army (IRA),603
,,8,Unknown,98
,,8,Unknown,98
,,1,Union of the People (UDP),130
,,1,Union of the People (UDP),130
"3/6/1978: Joseph Paul Franklin was suspected of shooting Larry Flynt and his attorney Gene Reeves outside of the courthouse in Lawrenceville, Georgia, United States.  Flynt and Reeves were both injured.",To protest the presence of interracial sex in Larry Flynt's Hustler Magazine.,1,White extremists,217
,,8,Armed Workers Nuclei,98
,,8,Unknown,98
,,8,Unknown,21
,,2,Unknown,83
,,3,Unknown,11
,,8,Unknown,98
,,8,Armed Womens Nuclei,98
,,8,Armed Proletarian Squads,98
,,8,Ulster Volunteer Force (UVF),603
,,10,Unknown,110
,,2,Sandinista National Liberation Front (FSLN),145
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,First of October Antifascist Resistance Group (GRAPO),185
,,8,Basque Fatherland and Freedom (ETA),185
,,2,Sandinista National Liberation Front (FSLN),145
,,8,Red Brigades,98
,,2,Unknown,83
,,3,Unknown,45
,,8,Unknown,98
,,8,Armed Proletarian Group,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Basque Fatherland and Freedom (ETA),185
,,3,Unknown,45
,,8,Basque Fatherland and Freedom (ETA),185
,,11,African National Congress (South Africa),183
,,3,Unknown,59
,,8,Argentine Anticommunist Alliance (AAA),185
,,3,Montoneros (Argentina),11
,,10,Al-Fatah,97
,,2,Unknown,61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,8,Armed Fight for Workers Power,98
,,10,Unknown,209
,,8,Unknown,98
,,4,Unknown,101
,,8,South Moluccans,142
,,1,New World Liberation Front (NWLF),217
,,2,Sandinista National Liberation Front (FSLN),145
,,8,Red Brigades,98
,,8,Fighting Women,98
,,8,Unknown,98
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Armed Nuclei for Communism,98
,,8,Unknown,69
,,10,Unknown,209
,,8,Red Brigades,98
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Irish Republican Army (IRA),603
,,8,Commandos for the Defense of Western Civilization,162
,,3,Unknown,30
,,4,Unknown,101
,,8,Proletarian Nucleus,98
,,8,Unknown,98
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,8,Anti-Terrorism ETA (ATE),185
,,8,Unknown,98
,,8,Unknown,98
,,8,First of October Antifascist Resistance Group (GRAPO),185
,,1,New World Liberation Front (NWLF),217
,,1,Unknown,130
,,8,Red Brigades,98
,,3,Marxist Resistance Movement,43
,,8,Basque Fatherland and Freedom (ETA),185
,,3,M-19 (Movement of April 19),45
,,2,Sandinista National Liberation Front (FSLN),145
,,2,Trinitarians,58
,,4,Airport Protesters,101
,,11,Unknown,139
,,3,Popular Liberation Army (EPL),45
,,3,Popular Liberation Army (EPL),45
,,1,Jewish Committee of Concern,217
,,4,Unknown,101
,,2,Unknown,61
,,8,Basque Fatherland and Freedom (ETA),185
,,8,First of October Antifascist Resistance Group (GRAPO),185
,,2,People's Liberation Forces (FPL),61
,,8,Red Brigades,98
,,8,Red Brigades,98
,,8,Column 88,603
,,10,Unknown,209
,,8,Column 88,603
,,8,Column 88,603
,,1,Independent Peasants Union,130
,,1,Independent Peasants Union,130
,,8,Unknown,98
,,1,Independent Peasants Union,130
,,8,Unknown,98
,,10,Unknown,6
,,3,Red Tribune,45
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Canary Islands Independence Movement,185
,,2,People's Revolutionary Army (ERP) (El Salvador),61
,,3,Montoneros (Argentina),11
,,8,Syndicalist Action Groups,185
,,8,Syndicalist Action Groups,185
,,3,Montoneros (Argentina),11
,,8,Red Brigades,98
,,8,Unknown,185
,,8,Irish Republican Army (IRA),603
,,8,Armed Proletarian Squads,98
,,3,Montoneros (Argentina),11
,,8,Red Brigades,98
,,8,Unknown,98
"04/11/1978: The United States Coast Guard Club in San Juan, Puerto Rico is bombed by Puerto Rican nationalist group, People's Revolutionary Command.  It is unknown whether any casualties or damage occurred from the explosion.",Unknown,1,Revolutionary Commandos of the People (CRP),217
,,10,Unknown,209
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Anti-Imperialistic Communist Revolutionaries,98
,,8,Basque Fatherland and Freedom (ETA),185
,,5,Moro National Liberation Front (MNLF),160
,,8,Unknown,98
,,2,Sandinista National Liberation Front (FSLN),145
,,8,Irish Republican Army (IRA),603
,,8,Ulster Volunteer Force (UVF),603
"04/14/1978: Puerto Rican nationalists, suspected to be members of the Front for the National Liberation of Puerto Rico, attempted to bomb a Coast Guard Housing Project in Puerto Rico.",Unknown,1,Front for the National Liberation of Puerto Rico,217
"04/14/1978: Puerto Rican nationalists, suspected to be members of the Front for the National Liberation of Puerto Rico, attempted to bomb a U.S. Army Recruiting Agency in Puerto Rico.",Unknown,1,Front for the National Liberation of Puerto Rico,217
"04/14/1978: Puerto Rican nationalists, suspected to be members of the Front for the National Liberation of Puerto Rico, attempted to bomb a First Federal Savings and Loan bank in Puerto Rico.",Unknown,1,Front for the National Liberation of Puerto Rico,217
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Armed Proletarian Nuclei (NAP),98
,,8,Irish Republican Army (IRA),603
,,8,Basque Fatherland and Freedom (ETA),185
,,2,People's Liberation Forces (FPL),61
,,8,Unknown,98
,,8,Unknown,98
,,1,Unknown,130
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Red Brigades,98
,,8,Red Brigades,98
,,3,M-19 (Movement of April 19),45
,,3,M-19 (Movement of April 19),45
,,8,Red Brigades,98
,,8,Unknown,98
,,8,Red Brigades,98
,,8,Red Brigades,98
,,5,Unknown,160
,,8,Red Brigades,98
,,8,Unknown,98
,,2,Sandinista National Liberation Front (FSLN),145
,,5,Moro National Liberation Front (MNLF),160
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,10,Unknown,155
,,8,Prima Linea,98
,,8,Front For the Liberation of the Azores,162
,,10,Polisario Front,349
,,2,Sandinista National Liberation Front (FSLN),145
,,3,Unknown,45
,,3,Unknown,45
,,8,Irish Republican Army (IRA),603
,,2,Sandinista National Liberation Front (FSLN),145
,,2,Sandinista National Liberation Front (FSLN),145
,,3,Popular Liberation Army (EPL),45
,,8,Unknown,98
,,8,Red Flying Squad,98
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Red Brigades,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Armed Workers Squads,98
,,8,Unknown,98
,,8,Armed Nuclei for Communism,98
,,8,Unknown,98
,,8,Communist Anti-Imperialistic Revolutionaries,98
,,8,Basque Fatherland and Freedom (ETA),185
,,2,People's Liberation Forces (FPL),61
,,2,Unknown,83
,,8,Red Brigades,98
,,3,Abstentionist Brigades,45
,,8,Unknown,162
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Unknown,69
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Basque Fatherland and Freedom (ETA),185
,,10,Unknown,209
,,5,Moro National Liberation Front (MNLF),160
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Red Brigades,98
,,3,Movement of the Revolutionary Left (MIR) (Chile),43
,,10,Unknown,209
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Falangist Vanguard,185
,,3,Unified Workers Command,45
,,3,Unknown,45
,,3,Unknown,45
,,8,Delta Group,69
,,8,Red Brigades,98
,,8,Red Brigades,98
,,3,Abstentionist Brigades,45
,,10,Unknown,209
,,4,Unknown,101
,,8,Unknown,69
,,8,Armed Proletarian Groups for Communism,98
,,4,Airport Protesters,101
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Armed Proletarian Groups for Communism,98
,,2,People's Liberation Forces (FPL),61
,,2,People's Liberation Forces (FPL),61
,,8,Red Brigades,98
,,8,Argentine Anticommunist Alliance (AAA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
"05/09/1978: A U.S. post office was bombed in San Juan, Puerto Rico by unknown Puerto Rican nationalists.  There were no casualties, but it is unknown whether any damage occurred form the blast.  This bombing coincided with the bombings of two other U.S. post offices (197805090005, 197805090006) in San Juan on the same day, as well as the bombing of a U.S. Navy recruiting center (197805090007) and a U.S. navy bus (197805090008).  The People's Revolutionary Commandos claimed the navy bombings in a call to the Associated Press the following day, but not the post office incidents.",Unknown,1,Puerto Rican Nationalists,217
"05/09/1978: A U.S. post office was bombed in San Juan, Puerto Rico by unknown Puerto Rican nationalists.  There were no casualties, but it is unknown whether any damage occurred form the blast.  This bombing coincided with the bombings of two other U.S. post offices (197805090004, 197805090006) in San Juan on the same day, as well as the bombing of a U.S. Navy recruiting center (197805090007) and a U.S. navy bus (197805090008).  The People's Revolutionary Commandos claimed the navy bombings in a call to the Associated Press the following day, but not the post office incidents.",Unknown,1,Puerto Rican Nationalists,217
"05/09/1978: A U.S. post office was bombed in San Juan, Puerto Rico by unknown Puerto Rican nationalists.  There were no casualties, but it is unknown whether any damage occurred form the blast.  This bombing coincided with the bombings of two other U.S. post offices (197805090004, 197805090005) in San Juan on the same day, as well as the bombing of a U.S. Navy recruiting center (197805090007) and a U.S. navy bus (197805090008).  The People's Revolutionary Commandos claimed the navy bombings in a call to the Associated Press the following day, but not the post office incidents.",Unknown,1,Puerto Rican Nationalists,217
"05/09/1978: A U.S. Navy Recruiting Center was bombed in San Juan, Puerto Rico by the People's Revolutionary Command.  There were no casualties, but it is unknown whether any damage occurred form the blast.  This bombing coincided with the bombings of three  U.S. post offices (197805090004, 197805090005,197805090006) in San Juan on the same day, as well as the bombing of a U.S. navy bus (197805090008).  The People's Revolutionary Command claimed the navy bombings in a call to the Associated Press the following day, but not the post office incidents.","The caller from the People's Revolutionary command claimed that the bombing was in response to the U.S. navy presence in Viegues, an island off of Puerto Rico's Coast, where island residents claimed that American Navy target practice was damaging the environment and endangering the livelihood of the residents.",1,Revolutionary Commandos of the People (CRP),217
"05/09/1978: A U.S. Navy bus was bombed in San Juan, Puerto Rico by the People's Revolutionary Command.  There were no casualties, but it is unknown whether any damage occurred form the blast.  This bombing coincided with the bombings of three  U.S. post offices (197805090004, 197805090005,197805090006) in San Juan on the same day, as well as the bombing of a U.S. Navy Recruiting Center (197805090007).  The People's Revolutionary Command claimed the navy bombings in a call to the Associated Press the following day, but not the post office incidents.","The caller from the People's Revolutionary command claimed that the bombing was in response to the U.S. navy presence in Viegues, an island off of Puerto Rico's Coast, where island residents claimed that American Navy target practice was damaging the environment and endangering the livelihood of the residents.",1,Revolutionary Commandos of the People (CRP),217
,,3,M-19 (Movement of April 19),45
,,8,Prima Linea,98
,,8,Prima Linea,98
,,2,Unknown,49
,,8,Breton Liberation Front (FLB),69
,,8,Breton Liberation Front (FLB),69
,,8,Breton Liberation Front (FLB),69
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Red Brigades,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,8,Red Brigades,98
,,8,Unknown,98
,,4,Chukakuha (Middle Core Faction),101
,,8,Unknown,98
,,8,Unknown,98
,,1,Unknown,130
,,1,Unknown,130
,,1,Unknown,130
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Red Brigades,98
,,2,Left-Wing Terrorists,61
,,8,Basque Fatherland and Freedom (ETA),185
,,1,Jewish Defense League (JDL),217
,,8,Red Brigades,98
,,8,Armed Proletarian Formations,98
,,8,Basque Fatherland and Freedom (ETA),185
,,2,People's Liberation Forces (FPL),61
"5/15/1978: Unknown perpetrators threw a Molotov cocktail at the Vermont Women's Health Center in Burlington, Vermont, United States.  There were no casualties but the exterior of the abortion clinic was damaged.",To protest the practice of abortion and to sabotage abortion facilities operating in Vermont.,1,Anti-Abortion extremists,217
,,5,Irian Jaya Rebels,93
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Red Brigades,98
,,8,Prima Linea,98
,,2,Armed Forces of National Resistance (FARN),61
,,4,Unknown,101
,,4,Unknown,101
,,11,Unknown,403
,,11,Unknown,403
,,3,Popular Liberation Army (EPL),45
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,11,Unknown,104
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,4,Unknown,101
,,4,Chukakuha (Middle Core Faction),101
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Popular Front for the Liberation of Palestine (PFLP),69
,,4,Unknown,101
,,8,Prima Linea,98
,,8,Prima Linea,98
,,8,Prima Linea,98
"05/22/1978: A six-inch long pipe bomb, wrapped in yellow and red paper, exploded on a shelf at a tobacco shop on the second floor of the Eastern Airlines building at John F. Kennedy Airport in Queens, New York in the United States.  The explosion caused broken glass and minor damage to the shelf, and there were no casualities from the incident.  The blast was claimed by members of the Armed Forces for National Liberation (FALN) by way of a telephone call to the United Press International.  This incident is linked to three other bombings on this day, one at La Guardia airport in Queens, New York, one at Newark airport in New Jersey, and one outside of the Department of Justice in Washington, D.C. (197805220005, 197805220006,197805220007), all of which were also claimed by FALN members in the phone call.","The specific motive is unknown; however, FALN had been responsible for many bombings during this time in conjunction with requests to end ""Yankee imperialism"" in the Caribbean and the release of imprisoned Puerto Rican nationalists.",1,Fuerzas Armadas de Liberacion Nacional (FALN),217
"05/22/1978: A small fire in the trashcan of the men's restroom at LaGuardia Airport in Queens, New York in the United States, caused minor damage and no casualties.  The fire was caused by a small incendiary device that was detonated by a timer, composed of a watch and batteries. The blast was claimed by members of the Armed Forces for National Liberation (FALN) by way of a telephone call to the United Press International.  This incident is linked to three other bombings on this day, one at John F. Kennedy Airport in Queens, New York, one at Newark Airport in New Jersey, and one outside of the Department of Justice in Washington, D.C. (197805220004, 197805220006,197805220007), all of which were also claimed by FALN members in the phone call.","The specific motive is unknown; however, FALN had been responsible for many bombings during this time in conjunction with requests to end ""Yankee imperialism"" in the Caribbean and the release of imprisoned Puerto Rican nationalists.",1,Fuerzas Armadas de Liberacion Nacional (FALN),217
"05/22/1978: An incendiary device, detonated by a timer, composed of a watch face and a nine-volt battery exploded behind a toy on a heavy glass shelf the Century Shop, a gift shop at Terminal A near the Trans World Airline desks in the Newark airport in New Jersey, United States.  The explosion caused minor damage to the shelf and the adjoining wall, as well as destroyed merchandise, but there were no casualities from the incident.  The blast was claimed by members of the Armed Forces for National Liberation (FALN) by way of a telephone call to the United Press International.  This incident is linked to three other bombings on this day, one each at John F. Kennedy airport and LaGuardia airport in Queens, New York, and one outside of the Department of Justice in Washington, D.C. (197805220004, 197805220005,197805220007), all of which were also claimed by FALN members in the phone call.","The specific motive is unknown; however, FALN had been responsible for many bombings during this time in conjunction with requests to end ""Yankee imperialism"" in the Caribbean and the release of imprisoned Puerto Rican nationalists.",1,Fuerzas Armadas de Liberacion Nacional (FALN),217
"05/22/1978: A pipe bomb, detonated by a timing device, exploded in the shrubbery outside of the east entrance to the Department of Justice headquarters on Constitution Avenue, between Ninth and 10th Streets in Washington, D.C. in the United States.  No damage and no casualties resulted from the explosion. The blast was claimed by members of the Armed Forces for National Liberation (FALN) by way of a telephone call to the United Press International.  This incident is linked to three other bombings on this day, one each at John F. Kennedy airport and LaGuardia airport in Queens, New York, and one at Newark airport in New Jersey (197805220004, 197805220005,197805220006), all of which were claimed by FALN members in the phone call.","The specific motive is unknown; however, FALN had been responsible for many bombings during this time in conjunction with requests to end ""Yankee imperialism"" in the Caribbean and the release of imprisoned Puerto Rican nationalists.",1,Fuerzas Armadas de Liberacion Nacional (FALN),217
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,8,Unknown,69
,,8,Unknown,185
,,8,Basque Fatherland and Freedom (ETA),185
,,3,Unknown,45
,,10,Unknown,94
,,10,Unknown,94
,,8,Justice Commandos for the Armenian Genocide,603
,,3,Supporters of presidential candidate Belisario Bet,45
,,8,Irish Republican Army (IRA),603
,,4,Revolutionary Army,101
,,1,Anti-Technology extremists,217
,,3,Unknown,45
,,3,Unknown,45
,,12,Unknown,14
,,8,Argentine Anticommunist Alliance (AAA),185
,,8,2nd of June Movement,362
,,8,Ulster Freedom Fighters (UFF),603
,,3,Unknown,45
,,8,Basque Fatherland and Freedom (ETA),185
,,11,Unknown,403
,,8,Basque Fatherland and Freedom (ETA),185
,,3,M-19 (Movement of April 19),45
,,3,M-19 (Movement of April 19),45
,,3,M-19 (Movement of April 19),45
,,2,Unknown,83
,,4,Chukakuha (Middle Core Faction),101
,,3,M-19 (Movement of April 19),45
,,3,M-19 (Movement of April 19),45
,,3,M-19 (Movement of April 19),45
,,3,M-19 (Movement of April 19),45
,,10,Unknown,209
,,3,Unknown,45
,,9,Unknown,499
,,8,Red Cell,362
,,10,Unknown,209
,,10,Unknown,215
,,4,Unknown,101
,,3,Popular Liberation Army (EPL),45
,,3,Pedro Leon Arboleda (PLA),45
,,10,Al-Fatah,97
,,8,Justice Commandos for the Armenian Genocide,185
,,3,Popular Liberation Army (EPL),45
,,3,Unknown,45
,,3,Unknown,45
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,98
,,2,Sandinista National Liberation Front (FSLN),145
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Irish Republican Army (IRA),603
,,8,Unknown,69
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,8,Unknown,185
,,8,Red Brigades,98
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Basque Fatherland and Freedom (ETA),185
,,3,Unknown,45
,,11,Unknown,403
,,3,Popular Liberation Army (EPL),45
,,8,Irish Republican Army (IRA),96
"6/7/1978: Unknown perpetrators placed a bomb in front of the Nazi Party of America headquarters in Chicago, Illinois in the United States.  The bomb was discovered and subsequently removed.","To protest the planned March by the Nazi Part of America in Skokie, Illinois, a predominantly Jewish suburb.",1,Unknown,217
,,3,Unknown,45
,,3,Unknown,45
,,3,Students,45
,,3,Montoneros (Argentina),11
,,3,Montoneros (Argentina),11
,,8,Action Group for Communism,162
,,3,Montoneros (Argentina),11
,,10,Phalange,110
,,8,Front of French National Liberation,69
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Canary Islands Independence Movement,185
,,3,Popular Liberation Army (EPL),45
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Prima Linea,98
,,8,First of October Antifascist Resistance Group (GRAPO),185
,,8,Red Brigades,98
,,8,Red Brigades,98
,,2,Guerrilla Army of the Poor (EGP),83
,,10,Unknown,106
,,8,Unknown,69
,,4,Unknown,101
,,8,Canary Islands Independence Movement,185
,,8,Fuerza Nueva,185
,,1,Unknown,217
"6/15/1978: One member of the Jewish Defense League (JDL) was convicted of bombing the Doheny Plaza theatre in Beverly Hills, California, United States.  There were no casualties but the building sustained an estimated $1,000 in damages.  The theatre was schedule to show Vanessa Redgrave's controversial film, ""The Palestinian"" which the JDL deemed to be anti-Israel.","Protest the showing of Vanessa Redgrave's film ""The Palestinian""",1,Jewish Defense League (JDL),217
,,11,Unknown,403
,,8,Irish Republican Army (IRA),603
,,8,Irish Republican Army (IRA),603
,,10,Unknown,209
,,8,Protestant extremists,603
,,2,People's Revolutionary Army (ERP) (El Salvador),61
,,10,Unknown,94
,,4,Unknown,101
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Canary Islands Independence Movement,185
,,8,Irish Republican Army (IRA),603
,,2,Guerrilla Army of the Poor (EGP),83
,,8,Red Brigades,98
,,8,Revolutionary Cells,362
,,8,Irish Republican Army (IRA),603
,,8,Red Brigades,98
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Revolutionary Cells,362
,,8,Red Brigades,98
,,8,Canary Islands Independence Movement,185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Unknown,69
,,11,Zimbabwe African People's Union,403
,,10,Unknown,209
,,10,Unknown,377
"06/24/1978: In a series of three related incidents, the Armed Forces for National Liberation (FALN) claimed responsibility for bombing the J.C. Penny Department Store at the Woodfield Shopping Center in Schaumburg, Illinois (a suburb of Chicago) in the United States.  There were no casualties but the store was damaged.",To promote Puerto Rican independence from the United States.,1,Fuerzas Armadas de Liberacion Nacional (FALN),217
"06/24/1978: In a series of three related incidents, the Armed Forces for National Liberation (FALN) claimed responsibility for bombing the Marshall Field's Department Store at the Woodfield Shopping Center in Schaumburg, Illinois (a suburb of Chicago) in the United States.  Ron Kravitz, a security guard attempting to remove one of the incendiary devices, was injured and the store was damaged.",To promote Puerto Rican independence from the United States,1,Fuerzas Armadas de Liberacion Nacional (FALN),217
"06/24/1978: In a series of three related incidents, the Armed Forces for National Liberation (FALN) claimed responsibility for bombing the Sears Department tore at the Woodfield Shopping Center in Schaumburg, Illinois (a suburb of Chicago) in the United States.  There were no casualties but the store was damaged.",To promote Puerto Rican independence from the United States,1,Fuerzas Armadas de Liberacion Nacional (FALN),217
,,8,Unknown,69
,,8,Unknown,69
,,8,Irish Republican Army (IRA),603
,,8,Irish Republican Army (IRA),603
,,11,African National Congress (South Africa),183
,,8,Breton Liberation Front (FLB),69
,,8,Unknown,69
,,11,Zimbabwe African People's Union,403
,,8,Unknown,69
,,8,Unknown,185
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Unknown,98
,,8,Unknown,98
,,8,Unknown,185
,,8,Basque Fatherland and Freedom (ETA),185
,,2,Unknown,83
,,8,Basque Fatherland and Freedom (ETA),185
,,4,Unknown,101
,,10,Unknown,209
,,10,Unknown,209
,,10,Unknown,209
,,8,Unknown,69
,,1,Unknown,217
,,8,Argentine Anticommunist Alliance (AAA),69
,,3,Unknown,45
,,3,Unknown,45
,,8,Corsican National Liberation Front (FLNC),69
,,8,Corsican National Liberation Front (FLNC),69
,,8,Corsican National Liberation Front (FLNC),69
,,8,Corsican National Liberation Front (FLNC),69
,,8,Unknown,199
,,1,Unknown,217
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,3,Revolutionary Armed Forces of Colombia (FARC),45
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Column 88,603
,,8,Unknown,98
,,8,Irish Republican Army (IRA),603
,,3,Unknown,45
,,1,Fuerzas Armadas de Liberacion Nacional (FALN),217
,,8,Red Brigades,98
,,8,Red Brigades,98
,,8,Unknown,69
,,8,Unknown,69
,,8,Revolutionary Anarchist Armed Terrorist Movement,69
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Red Brigades,98
,,8,Basque Fatherland and Freedom (ETA),185
,,8,Canary Islands Independence Movement,185
,,3,Death Squad,30
,,8,Palestinians,603
,,2,Unknown,145
,,2,Guerrilla Army of the Poor (EGP),83
,,2,Guerrilla Army of the Poor (EGP),83
,,10,Palestinians,97
,,1,Jewish Armed Resistance,217
,,2,Sandinista National Liberation Front (FSLN),145
,,2,Sandinista National Liberation Front (FSLN),145
,,8,Basque Fatherland and Freedom (ETA),185
,,3,Unknown,45
,,8,Irish Republican Army (IRA),603
