region,suicide,gname,country
8,0,South Moluccans,142
8,0,Irish Republican Army (IRA),603
10,0,Unknown,110
8,0,National Front for the Liberation of Cuba (FLNC),69
8,0,International Revolutionary Action Group (GARI),69
8,0,Irish Republican Army (IRA),603
8,0,Ulster Volunteer Force (UVF),603
8,0,International Revolutionary Action Group (GARI),69
8,0,International Revolutionary Action Group (GARI),7
8,0,International Revolutionary Action Group (GARI),69
4,0,Unknown,101
8,0,International Revolutionary Action Group (GARI),69
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Ulster Volunteer Force (UVF),603
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
3,0,Unknown,11
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
10,0,Lebanese Socialist Revolutionary Organization,110
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
8,0,Irish Republican Army (IRA),603
1,0,Unknown,217
8,0,Unknown,69
1,0,Unknown,217
1,0,M-7,217
8,0,Unknown,69
8,0,GAC,69
8,0,Unknown,603
8,0,Ulster Freedom Fighters (UFF),603
8,0,Irish Republican Army (IRA),603
8,0,Democratic Front for the Liberation of Palestine (DFLP),69
8,0,Popular Front for the Liberation of Palestine (PFLP),69
8,0,Popular Front for the Liberation of Palestine (PFLP),69
8,0,Irish Republican Army (IRA),603
8,0,Black Order,98
8,0,International Revolutionary Action Group (GARI),21
1,0,New World Liberation Front (NWLF),217
3,0,Unknown,11
2,0,National Front for the Liberation of Cuba (FLNC),100
1,0,M-7,217
1,0,Anti-Government extremists,217
1,0,Unknown,217
8,0,Ulster Freedom Fighters (UFF),603
1,0,New World Liberation Front (NWLF),217
8,0,Ulster Freedom Fighters (UFF),603
10,0,Mujahedin-e Khalq (MEK),94
8,0,Irish Republican Army (IRA),603
10,0,Arab Communist Organization,200
8,0,Ulster Freedom Fighters (UFF),603
4,0,Korean Youth League,184
8,0,Revolutionary Cells,362
1,0,Anti-Government extremists,217
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Democratic Front for the Liberation of Palestine (DFLP),362
8,0,2nd of June Movement,362
8,0,Irish Republican Army (IRA),603
3,0,Peronist Armed Forces (FAP),11
8,0,Basque Fatherland and Freedom (ETA),185
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
10,0,Unknown,110
8,0,Unknown,78
1,0,New World Liberation Front (NWLF),217
8,0,Irish Republican Army (IRA),603
3,0,Montoneros (Argentina),11
8,0,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",78
8,0,Unknown,185
1,0,"Weather Underground, Weathermen",217
8,0,Basque Fatherland and Freedom (ETA),185
3,0,Argentine Liberation Front (FAL),11
8,0,Catalan Liberation Front (FAC),185
8,0,Unknown,69
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Japanese Red Army (JRA),142
10,0,Arab Communist Organization,200
3,0,Argentine Liberation Front (FAL),11
8,0,Popular Front for the Liberation of Palestine (PFLP),69
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Ulster Volunteer Force (UVF),603
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Ulster Volunteer Force (UVF),603
3,0,Montoneros (Argentina),11
3,0,Condor,159
8,0,Irish Republican Army (IRA),603
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
8,0,Ulster Volunteer Force (UVF),603
2,0,M12J,58
2,0,Dominican Popular Movement (MPD),58
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
8,0,Ulster Freedom Fighters (UFF),603
3,0,Argentine Anticommunist Alliance (AAA),11
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
8,0,Ulster Volunteer Force (UVF),603
8,0,Protestant extremists,603
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Irish Republican Army (IRA),603
1,0,New World Liberation Front (NWLF),217
8,0,Ulster Volunteer Force (UVF),603
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
1,0,New World Liberation Front (NWLF),217
1,0,National Front for the Liberation of Cuba (FLNC),217
8,0,Unknown,362
8,0,Irish Republican Army (IRA),603
8,0,International Revolutionary Action Group (GARI),69
1,0,National Front for the Liberation of Cuba (FLNC),217
1,0,National Front for the Liberation of Cuba (FLNC),217
10,0,Arab Communist Organization,200
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Protestant extremists,603
10,0,Arab Communist Organization,110
10,0,Arab Communist Organization,200
8,0,Protestant Action Group,603
8,0,Protestant extremists,603
8,0,Ulster Volunteer Force (UVF),603
8,0,Ulster Freedom Fighters (UFF),603
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
8,0,Ulster Volunteer Force (UVF),603
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Protestant extremists,603
8,0,Unknown,362
8,0,Unknown,362
8,0,Unknown,362
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
8,0,Ulster Volunteer Force (UVF),603
1,0,National Front for the Liberation of Cuba (FLNC),217
8,0,Irish Republican Army (IRA),603
8,0,Basque Fatherland and Freedom (ETA),185
10,0,Unknown,94
10,0,Unknown,94
10,0,Mujahedin-e Khalq (MEK),94
1,0,Jewish Armed Resistance,217
10,0,Turkish People's Liberation Army,209
1,0,New World Liberation Front (NWLF),217
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Extremists,603
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Red Brigades,98
8,0,Unknown,98
8,0,Protestant extremists,603
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Red Brigades,98
8,0,Irish Republican Army (IRA),603
3,0,Unknown,59
3,0,Unknown,59
3,0,Unknown,59
8,0,Red Flag,603
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Protestant Action Group,603
8,0,Unknown,362
1,0,Cuban C-4 Movement,217
8,0,Protestant Action Group,603
1,0,National Front for the Liberation of Cuba (FLNC),217
9,0,2nd of June Movement,499
8,0,Unknown,362
8,0,Ulster Freedom Fighters (UFF),603
1,0,Jewish Defense League (JDL),217
8,0,Unknown,362
8,0,Revolutionary Cells,362
8,0,Irish Republican Army (IRA),603
8,0,Protestant extremists,603
8,0,Protestant Action Group,603
8,0,Irish Republican Extremists,603
1,0,United Popular Liberation Army of America,130
4,0,Maruseido (Marxist Youth League),101
8,0,Irish Republican Army (IRA),603
8,0,Unknown,362
8,0,Irish Republican Army (IRA),603
8,0,Ulster Volunteer Force (UVF),603
8,0,Protestant extremists,603
8,0,Baader-Meinhof Group,98
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Extremists,603
1,0,23rd of September Communist League,130
1,0,Unknown,130
10,0,Democratic Front for the Liberation of Palestine (DFLP),97
8,0,Baader-Meinhof Group,362
8,0,Irish Republican Army (IRA),603
8,0,Ulster Volunteer Force (UVF),603
3,0,Revolutionary Vanguard,159
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Unknown,603
4,0,Maruseido (Marxist Youth League),101
8,0,Protestant extremists,603
8,0,Irish Republican Army (IRA),603
10,0,Palestinians,215
8,0,Ulster Freedom Fighters (UFF),603
8,0,Protestant extremists,603
8,0,Irish Republican Army (IRA),603
8,0,Ulster Freedom Fighters (UFF),603
3,0,Montoneros (Argentina),11
3,0,Montoneros (Argentina),11
8,0,Irish Republican Extremists,603
8,0,Ulster Freedom Fighters (UFF),603
8,0,Protestant extremists,603
8,0,Irish Republican Extremists,603
8,0,Unknown,362
10,0,Palestinians,97
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Ulster Volunteer Force (UVF),603
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
8,0,Irish Republican Army (IRA),603
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
8,0,Unknown,362
3,0,Unknown,159
10,0,Palestinians,97
1,0,Latin America Anti-Communist Army (LAACA),217
1,0,Latin America Anti-Communist Army (LAACA),217
1,0,Latin America Anti-Communist Army (LAACA),217
6,0,Unknown,153
10,0,Unknown,110
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
10,0,Popular Front for the Liberation of Palestine (PFLP),97
8,0,Irish Republican Army (IRA),603
8,0,Youth Action Group,69
8,0,Youth Action Group,69
1,0,National Front for the Liberation of Cuba (FLNC),217
8,0,Youth Action Group,69
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
1,0,National Front for the Liberation of Cuba (FLNC),217
8,0,Irish Republican Army (IRA),603
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Raul Sendic International Brigade,69
1,0,New World Liberation Front (NWLF),217
10,0,Democratic Front for the Liberation of Palestine (DFLP),97
8,0,Irish Republican Army (IRA),603
10,0,Arab Communist Organization,110
8,0,Irish Republican Army (IRA),603
8,0,Protestant extremists,603
8,0,Irish Republican Army (IRA),603
12,0,Unknown,14
8,0,Iberian Liberation Movement (MIL),185
2,0,Sandinista National Liberation Front (FSLN),145
1,0,Cuban Exiles,217
1,0,Black Muslims,217
8,0,Protestant extremists,603
11,0,Unknown,183
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
6,0,Unknown,153
8,0,First of October Antifascist Resistance Group (GRAPO),185
8,0,First of October Antifascist Resistance Group (GRAPO),185
8,0,First of October Antifascist Resistance Group (GRAPO),185
8,0,Irish Republican Army (IRA),603
8,0,South Moluccans,142
8,0,Irish Republican Army (IRA),603
10,0,Popular Front for the Liberation of Palestine (PFLP),200
10,0,Popular Front for the Liberation of Palestine (PFLP),200
1,0,Unknown,217
8,0,International Revolutionary Action Group (GARI),69
8,0,Baader-Meinhof Group,199
1,0,Unknown,217
8,0,Popular Front for the Liberation of Palestine (PFLP),69
8,0,Unknown,185
10,0,Unknown,94
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Popular Front for the Liberation of Palestine (PFLP),69
1,0,Unknown,217
8,0,Irish Republican Army (IRA),603
6,0,Ananda Marga,92
10,0,Armenian Secret Army for the Liberation of Armenia,110
8,0,Irish Republican Army (IRA),603
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,"Weather Underground, Weathermen",217
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
10,0,Arab Communist Organization,110
1,0,23rd of September Communist League,130
1,0,"Weather Underground, Weathermen",217
8,0,Ulster Freedom Fighters (UFF),603
8,0,Baader-Meinhof Group,362
8,0,Irish Republican Army (IRA),603
3,0,Montoneros (Argentina),11
11,0,Maskini Liberation Front,104
8,0,Unknown,185
8,0,Unknown,185
8,0,Unknown,185
1,0,Omega-7,217
1,0,New World Liberation Front (NWLF),217
1,0,Continental Revolutionary Army,217
1,0,New World Liberation Front (NWLF),217
1,0,New World Liberation Front (NWLF),217
1,0,National Socialist Liberation Front,217
8,0,International Revolutionary Solidarity,69
1,0,New World Liberation Front (NWLF),217
1,0,New World Liberation Front (NWLF),217
1,0,Cuban Action,217
8,0,Protestant extremists,603
8,0,Irish Republican Army (IRA),603
10,0,Prisoner  Gourgen Yanikian Group,110
6,0,National Awami Party,153
8,0,Baader-Meinhof Group,69
8,0,Ulster Volunteer Force (UVF),603
8,0,Unknown,362
8,0,Unknown,362
8,0,Unknown,199
8,0,Protestant extremists,603
8,0,Protestant extremists,603
8,0,Ulster Volunteer Force (UVF),603
8,0,New Order- France,69
8,0,New Order- France,69
10,0,Arab Communist Organization,110
1,0,Cuban Action,217
8,0,Irish Republican Army (IRA),603
8,0,Breton Liberation Front (FLB),69
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Unknown,185
3,0,National Liberation Army of Colombia (ELN),45
8,0,Ulster Volunteer Force (UVF),603
1,0,Unknown,217
10,0,Unknown,110
8,0,Unknown,185
8,0,Red Brigades,98
8,0,Protestant extremists,603
10,0,Armenian Secret Army for the Liberation of Armenia,110
8,0,Protestant extremists,603
8,0,Official Irish Republican Army (OIRA),603
8,0,Ulster Freedom Fighters (UFF),603
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
3,0,Montoneros (Argentina),11
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
1,0,Movement for Cuban Justice (Pragmatistas),217
1,0,Unknown,217
8,0,Irish National Liberation Army (INLA),603
8,0,Protestant extremists,603
1,0,Cuban Exiles,217
3,0,Montoneros (Argentina),11
1,0,Cuban Action,217
8,0,Irish Republican Army (IRA),603
8,0,2nd of June Movement,362
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Irish Republican Extremists,603
8,0,Ulster Volunteer Force (UVF),603
4,0,East Asia Anti Japanese Armed Front,101
8,0,Protestant extremists,603
8,0,Irish Republican Extremists,603
8,0,National Organization of Cypriot Fighters (EOKA),53
8,0,Unknown,185
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Unknown,185
8,0,Unknown,185
8,0,Canary Islands Independence Movement,185
8,0,Unknown,185
3,0,Revolutionary Armed Forces of Colombia (FARC),45
11,0,Maskini Liberation Front,104
10,0,Unknown,95
1,0,"Weather Underground, Weathermen",217
8,0,Unknown,69
10,0,Mujahedin-e Khalq (MEK),94
8,0,Revolutionary Cells,362
8,0,National Organization of Cypriot Fighters (EOKA),53
8,0,Unknown,362
8,0,Protestant extremists,603
10,0,Unknown,94
10,0,Popular Front for the Liberation of Palestine (PFLP),97
3,0,Montoneros (Argentina),11
8,0,Sixth of March Group,69
8,0,Irish Republican Extremists,603
3,0,Montoneros (Argentina),11
3,0,Red Flag (Venezuela),222
8,0,Ulster Volunteer Force (UVF),603
10,0,Mahir Cayan Suicide Group,209
1,0,Chicano Liberation Front,217
1,0,Chicano Liberation Front,217
1,0,Chicano Liberation Front,217
1,0,New World Liberation Front (NWLF),217
3,0,National Liberation Army of Colombia (ELN),45
8,0,Irish Republican Extremists,603
8,0,Unknown,185
8,0,Unknown,185
8,0,Ulster Volunteer Force (UVF),603
8,0,Ulster Volunteer Force (UVF),603
8,0,Ulster Volunteer Force (UVF),603
10,0,Mujahedin-e Khalq (MEK),94
3,0,Unknown,11
11,0,Unknown,230
10,0,Unknown,94
1,0,New World Liberation Front (NWLF),217
1,0,New World Liberation Front (NWLF),217
1,0,New World Liberation Front (NWLF),217
1,0,New World Liberation Front (NWLF),217
1,0,New World Liberation Front (NWLF),217
1,0,New World Liberation Front (NWLF),217
3,0,Unknown,11
1,0,Unknown,217
3,0,Montoneros (Argentina),11
11,0,Front for the Liberation of the French Somali Coast,182
3,0,Unknown,11
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Unknown,185
8,0,Unknown,185
8,0,Unknown,185
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Basque Fatherland and Freedom (ETA),185
1,0,Red Guerilla Family,217
1,0,Cuban Action,217
1,0,Cuban Action,217
1,0,New World Liberation Front (NWLF),217
8,0,Basque Fatherland and Freedom (ETA),185
3,0,Unknown,11
1,0,New World Liberation Front (NWLF),217
3,0,Revolutionary Armed Forces of Colombia (FARC),45
8,0,Croatian Nationalists,69
1,0,Unknown,217
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Unknown,185
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Unknown,185
8,0,Protestant extremists,603
8,0,Protestant extremists,603
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
8,0,Protestant extremists,603
8,0,Irish Republican Extremists,603
1,0,Cuban Action,217
3,0,Argentine National Organization Movement (MANO),11
1,0,Red Guerilla Family,217
1,0,Jewish Extremists,217
8,0,Protestant extremists,603
8,0,Irish Republican Extremists,603
8,0,Protestant extremists,603
1,0,Jewish Defense League (JDL),217
8,0,Official Irish Republican Army (OIRA),603
8,0,Unknown,362
3,0,National Liberation Army of Colombia (ELN),45
8,0,Irish Republican Extremists,603
8,0,Protestant extremists,603
8,0,Ulster Volunteer Force (UVF),603
1,0,New World Liberation Front (NWLF),217
3,0,Revolutionary Vanguard,159
8,0,Charles Martel Group,69
1,0,Jewish Defense League (JDL),217
11,0,Maskini Liberation Front,104
10,0,Arab Communist Organization,106
8,0,Irish National Liberation Army (INLA),603
8,0,Ulster Volunteer Force (UVF),603
8,0,Irish Republican Extremists,603
8,0,Protestant extremists,603
10,0,Phalange,110
3,0,Montoneros (Argentina),11
1,0,Cuban Action,217
3,0,Unknown,11
4,0,East Asia Anti Japanese Armed Front,101
1,0,Symbionese Liberation Army (SLA),217
1,0,Symbionese Liberation Army (SLA),217
8,0,Protestant extremists,603
8,0,Socialist Patients' Collective (SPK),198
3,0,Unknown,11
1,0,23rd of September Communist League,130
8,0,Irish Republican Extremists,603
8,0,Protestant extremists,603
1,0,Unknown,217
8,0,Irish National Liberation Army (INLA),603
8,0,People's Liberation Army (Northern Ireland),603
1,0,Unknown,217
8,0,Revolutionary Cells,362
8,0,Unknown,362
8,0,Revolutionary Cells,362
2,0,People's Revolutionary Army (ERP) (El Salvador),61
3,0,Red Flag (Venezuela),222
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
3,0,Red Flag (Venezuela),222
8,0,Revolutionary Cells,362
8,0,Revolutionary Cells,362
8,0,Revolutionary Cells,362
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Unknown,185
8,0,Unknown,185
8,0,Unknown,185
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Unknown,185
1,0,New World Liberation Front (NWLF),217
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
1,0,Cuban Action,217
8,0,Irish Republican Army (IRA),603
8,0,Meinhof-Puig-Antich Group,69
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
1,0,23rd of September Communist League,130
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Armed Proletarian Nuclei (NAP),98
8,0,Basque Fatherland and Freedom (ETA),185
8,0,International Revolutionary Action Group (GARI),69
1,0,Cuban Action,217
3,0,Popular Liberation Army (EPL),45
1,0,New World Liberation Front (NWLF),217
1,0,The Scorpion,217
1,0,The Scorpion,217
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Unknown,185
8,0,Unknown,185
8,0,Argentine Anticommunist Alliance (AAA),185
8,0,Irish Republican Army (IRA),603
1,0,Unknown,217
3,0,Unknown,11
8,0,Catalan Liberation Front (FAC),185
8,0,Catalan Liberation Front (FAC),185
8,0,Basque Fatherland and Freedom (ETA),185
1,0,Unknown,217
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Catalan Liberation Front (FAC),185
8,0,Ulster Volunteer Force (UVF),603
11,0,People's Revolutionary Party (Tanzania),203
8,0,Nationalist Intervention Group,69
1,0,New World Liberation Front (NWLF),217
10,0,Mujahedin-e Khalq (MEK),94
10,0,Mujahedin-e Khalq (MEK),94
8,0,Meinhof-Puig-Antich Group,69
8,0,Meinhof-Puig-Antich Group,69
8,0,Meinhof-Puig-Antich Group,69
10,0,Unknown,94
8,0,Meinhof-Puig-Antich Group,69
10,0,Turkish People's Liberation Army,209
8,0,Ulster Volunteer Force (UVF),603
10,0,Turkish People's Liberation Army,209
8,0,Protestant extremists,603
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
8,0,Irish National Liberation Army (INLA),603
4,0,East Asia Anti Japanese Armed Front,101
4,0,East Asia Anti Japanese Armed Front,101
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Ulster Volunteer Force (UVF),603
1,0,Unknown,217
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Ulster Volunteer Force (UVF),603
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Baader-Meinhof Group,69
10,0,Arab Communist Organization,110
8,0,Unknown,185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
1,0,George Jackson Brigade,217
8,0,Irish Republican Army (IRA),96
8,0,Unknown,185
8,0,Unknown,185
8,0,Anti-Terrorism ETA (ATE),69
8,0,Irish Republican Army (IRA),603
8,0,Unknown,98
8,0,Unknown,98
8,0,Unknown,98
8,0,Irish Republican Army (IRA),603
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Nationalist Intervention Group,69
8,0,Official Irish Republican Army (OIRA),603
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Basque Fatherland and Freedom (ETA),185
3,0,Movement of the Revolutionary Left (MIR) (Peru),159
1,0,Tribal Thumb,217
8,0,Irish Republican Army (IRA),603
8,0,Official Irish Republican Army (OIRA),96
8,0,Irish Republican Army (IRA),603
8,0,Ulster Volunteer Force (UVF),603
11,0,Unknown,104
8,0,Protestant extremists,603
10,0,Mujahedin-e Khalq (MEK),94
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
8,0,Ulster Freedom Fighters (UFF),603
8,0,Irish Republican Extremists,603
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
8,0,Nationalist Intervention Group,69
10,0,Mujahedin-e Khalq (MEK),94
8,0,Basque Fatherland and Freedom (ETA),185
5,0,Unknown,160
1,0,"Weather Underground, Weathermen",217
2,0,Unknown,83
1,0,Fuerzas Armadas de Liberacion Nacional (FALN),217
8,0,Protestant Action Group,603
8,0,Protestant extremists,603
8,0,Ulster Freedom Fighters (UFF),603
3,0,Montoneros (Argentina),11
8,0,Protestant extremists,603
8,0,Irish Republican Army (IRA),603
8,0,Ulster Volunteer Force (UVF),96
1,0,Croatian Nationalists,217
8,0,Irish Republican Extremists,603
1,0,New World Liberation Front (NWLF),217
1,0,American Indian Movement,217
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Ulster Volunteer Force (UVF),603
10,0,Popular Front for the Liberation of Palestine (PFLP),110
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
3,0,Red Flag (Venezuela),222
3,0,Red Flag (Venezuela),222
1,0,Unknown,217
10,0,Mujahedin-e Khalq (MEK),94
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Unknown,362
8,0,Irish Republican Army (IRA),603
8,0,First of October Antifascist Resistance Group (GRAPO),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Irish Republican Army (IRA),603
8,0,Ulster Volunteer Force (UVF),603
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
11,0,Eritrean Liberation Front,65
1,0,Unknown,217
1,0,Cuban Action,217
3,0,Montoneros (Argentina),11
8,0,Irish Republican Army (IRA),603
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
1,0,Cuban Action,217
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
1,0,23rd of September Communist League,130
4,0,East Asia Anti Japanese Armed Front,101
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
1,0,Red Guerilla Family,217
10,0,Unknown,94
4,0,Okinawa Liberation League,101
5,0,Moro National Liberation Front (MNLF),160
8,0,Unknown,69
8,0,Unknown,69
8,0,Unknown,69
1,0,Unknown,217
8,0,Irish National Liberation Army (INLA),603
8,0,Ulster Volunteer Force (UVF),603
6,0,Liberation Tigers of Tamil Eelam (LTTE),186
8,0,Fronte Paesanu Corsu di Liberazione (FPCL),69
8,0,First of October Antifascist Resistance Group (GRAPO),185
8,0,First of October Antifascist Resistance Group (GRAPO),185
8,0,Basque Fatherland and Freedom (ETA),185
3,0,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),11
8,0,Irish Republican Army (IRA),603
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Ulster Volunteer Force (UVF),603
2,0,Unknown,83
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
8,0,Ulster Volunteer Force (UVF),603
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Irish Republican Army (IRA),603
1,0,Unknown,217
5,0,Japanese Red Army (JRA),121
3,0,Unknown,45
3,0,Unknown,11
1,0,George Jackson Brigade,217
2,0,People's Revolutionary Army (ERP) (El Salvador),61
1,0,George Jackson Brigade,217
8,0,Basque Fatherland and Freedom (ETA),185
8,0,Basque Fatherland and Freedom (ETA),185
1,0,New World Liberation Front (NWLF),217
2,0,Sandinista National Liberation Front (FSLN),145
1,0,Unknown,217
8,0,First of October Antifascist Resistance Group (GRAPO),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Revolutionary Patriotic Anti-Fascist Front (FRAP),185
8,0,Irish Republican Army (IRA),603
8,0,Irish Republican Army (IRA),603
1,0,23rd of September Communist League,130
8,0,Ulster Freedom Fighters (UFF),603
